################################
##########2016-09-15############
黄河                          ,泺口                          ,25.92,250,1.53,
黄河                          ,利津                          ,10.22,152,0.341,

################################
##########2016-09-22############
黄河                          ,唐乃亥                        ,2515.54,646,-,
黄河                          ,龙羊峡入库,-,613,-,
黄河                          ,龙羊峡蓄水量,2573.09,(154)亿,-,
黄河                          ,龙羊峡出库,-,300,-,
黄河                          ,刘家峡入库,-,642,-,
黄河                          ,刘家峡蓄水量,1729.44,(33.5)亿,-,
黄河                          ,刘家峡出库,-,304,-,
黄河                          ,兰州                          ,1511.73,603,-,
黄河                          ,下河沿                        ,1230.91,816,-,
黄河                          ,石嘴山                        ,1087.21,755,-,
黄河                          ,巴彦高勒                      ,1050.95,640,-,
黄河                          ,三湖河口                      ,1018.85,725,-,
黄河                          ,包头                          ,1002.62,725,-,
黄河                          ,头道拐                        ,987.11,801,-,
黄河                          ,万家寨蓄水量,972.7,(2.64)亿,-,
黄河                          ,万家寨上出库,-,826,-,
黄河                          ,万家寨下                      ,899.48,826,-,
黄河                          ,府谷                          ,807.92,875,-,
黄河                          ,吴堡                          ,637.31,715,-,
黄河                          ,龙门                          ,380.84,916,-,
汾河                          ,河津                          ,372.92,50.9,-,
北洛河                        ,状头                          ,361.68,13.9,-,
泾河                          ,张家山                        ,420.26,2.02,-,
渭河                          ,咸阳                          ,381.48,59,-,
渭河                          ,华县                          ,336.16,164,-,
黄河                          ,潼关                          ,327.41,980,-,
黄河                          ,史家滩蓄水量,307.07,(0.691)亿,-,
黄河                          ,三门峡                        ,275.22,880,1.40,
黄河                          ,小浪底上蓄水量,247.76,(36.2)亿,-,
黄河                          ,小浪底                        ,134.57,443,-,
伊河                          ,东湾                          ,2.83,5.97,-,
伊河                          ,陆浑坝上蓄水量,312.99,(4.26)亿,-,
伊河                          ,陆浑坝上出库,-,-,-,
伊河                          ,龙门镇                        ,148.62,12,-,
洛河                          ,卢氏                          ,6.18,1.41,-,
洛河                          ,故县水库蓄水量,523.41,(4.57)亿,-,
洛河                          ,故县水库出库,-,-,-,
洛河                          ,长水                          ,90.5,1.52,-,
洛河                          ,白马寺                        ,7.88,16.4,-,
伊洛河                        ,黑石关                        ,107.32,21,-,
丹河                          ,山路坪                        ,-,-,-,
沁河                          ,五龙口                        ,141.85,16.3,-,
沁河                          ,武陟                          ,100.14,11.4,-,
黄河                          ,花园口                        ,88.83,325,-,
黄河                          ,夹河滩                        ,72.29,300,-,
黄河                          ,高村                          ,58.97,333,0.499,
黄河                          ,孙口                          ,44.4,279,0.329,
大清河                        ,戴村坝,-,-,-,
东平湖                        ,东平湖老湖蓄水量,42.43,(4.78)亿,-,
东平湖                        ,出湖闸,-,-,-,
黄河                          ,艾山                          ,36.74,265,0.886,
黄河                          ,泺口                          ,25.9,246,0.496,
黄河                          ,利津                          ,10.24,157,0.298,

################################
##########2016-09-23############
黄河                          ,唐乃亥                        ,2515.66,694,-,
黄河                          ,龙羊峡入库,-,562,-,
黄河                          ,龙羊峡蓄水量,2573.2,(155)亿,-,
黄河                          ,龙羊峡出库,-,279,-,
黄河                          ,刘家峡入库,-,559,-,
黄河                          ,刘家峡蓄水量,1729.59,(33.7)亿,-,
黄河                          ,刘家峡出库,-,309,-,
黄河                          ,兰州                          ,1511.82,653,-,
黄河                          ,下河沿                        ,1230.81,760,-,
黄河                          ,石嘴山                        ,1087.2,750,-,
黄河                          ,巴彦高勒                      ,1051,705,-,
黄河                          ,三湖河口                      ,1018.71,620,-,
黄河                          ,包头                          ,1002.6,665,-,
黄河                          ,头道拐                        ,986.98,736,-,
黄河                          ,万家寨蓄水量,972.45,(2.58)亿,-,
黄河                          ,万家寨上出库,-,590,-,
黄河                          ,万家寨下                      ,899.13,590,-,
黄河                          ,府谷                          ,808.01,897,-,
黄河                          ,吴堡                          ,637.54,920,-,
黄河                          ,龙门                          ,380.61,781,-,
汾河                          ,河津                          ,372.57,40,-,
北洛河                        ,状头                          ,361.54,6.69,-,
泾河                          ,张家山                        ,420.26,2.02,-,
渭河                          ,咸阳                          ,381.31,39.1,-,
渭河                          ,华县                          ,335.99,143,-,
黄河                          ,潼关                          ,327.4,970,-,
黄河                          ,史家滩蓄水量,306.04,(0.590)亿,-,
黄河                          ,三门峡                        ,275.88,1340,1.84,
黄河                          ,小浪底上蓄水量,248.16,(36.9)亿,-,
黄河                          ,小浪底                        ,134.42,320,-,
伊河                          ,东湾                          ,2.83,5.97,-,
伊河                          ,陆浑坝上蓄水量,312.98,(4.25)亿,-,
伊河                          ,陆浑坝上出库,-,-,-,
